idHistory,Code,Description,Duration,userId,OperatorComment,BegindateTime,IdPrevious,EndDateTime,Pieces,Rejections
1658380,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,572,siderca\12985,"CPA,CA15,GA15,CFC,CDS,GDS,CDT",2025-04-05 07:30:11.3921516 -03:00,1658307,2025-04-05 05:34:27.5855923 -03:00,12,0
1658407,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,290,siderca\12985,"CA15,GA15,CDT",2025-04-05 08:55:15.1044630 -03:00,1658380,2025-04-05 07:39:43.3921516 -03:00,11,0
1658431,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,582,siderca\12985,"CA15,GA15,CFC,GFC",2025-04-05 10:07:09.2580858 -03:00,1658407,2025-04-05 09:00:05.1044630 -03:00,11,0
1658443,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,506.763,siderca\12985,"CPT,CPA,CSR,GSR,CA15,GA15,CDS,GDS,CDT",2025-04-05 10:41:07.7543026 -03:00,1658431,2025-04-05 10:16:51.2580858 -03:00,3,3
1658523,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,540.361,siderca\60062524,"CA15,GA15,CFC,GFC,CDT",2025-04-05 13:07:24.0000000 -03:00,1658443,2025-04-05 10:49:34.5177698 -03:00,10,1
1658539,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,544,siderca\60062524,"CPA,GA15,GA12,GFC,CDS,GDS",2025-04-05 14:04:03.0334318 -03:00,1658523,2025-04-05 13:16:24.3617624 -03:00,8,0
1658574,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,545.872,siderca\60062524,"CPA,GSR,GA15,GFC",2025-04-05 15:55:03.3582592 -03:00,1658539,2025-04-05 14:13:07.0334318 -03:00,11,0
1658649,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,210.988,siderca\60062524,"GA15,CFC,GFC",2025-04-05 18:52:40.4813860 -03:00,1658574,2025-04-05 16:04:09.2307969 -03:00,22,2
1658679,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,920,siderca\60062524,"CPT,CPA,GSR,GA15,GA12,CFC,GFC,CDS,GDS,CDT",2025-04-05 19:59:14.3043872 -03:00,1658649,2025-04-05 18:56:11.4694541 -03:00,9,0
1658738,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1128.3,siderca\60062291,"CPA,GA15,GA12,GFC,GDS",2025-04-05 22:21:12.7245488 -03:00,1658679,2025-04-05 20:14:34.3043872 -03:00,11,0
1658785,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1161.281,siderca\60062291,"CPT,CPA,CSR,GA15,GA12,GFC,GDS",2025-04-05 23:45:23.7900786 -03:00,1658738,2025-04-05 22:40:01.0245699 -03:00,10,0
1658843,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,256.903,siderca\60062291,"CA15,CA12",2025-04-06 01:11:33.9719489 -03:00,1658785,2025-04-06 00:04:45.0719878 -03:00,10,0
1658881,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,865.955,siderca\60062291,"CPA,GA15,GA12,GFC,GDS",2025-04-06 02:21:13.9613502 -03:00,1658843,2025-04-06 01:15:50.8746350 -03:00,10,0
1658939,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,548.506,siderca\60062291,"CPT,CSR,GSR,GA15,GA12",2025-04-06 03:43:38.6451763 -03:00,1658881,2025-04-06 02:35:39.9168791 -03:00,7,0
1659026,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,720,siderca\12985,"CPA,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-06 05:10:20.4123760 -03:00,1658939,2025-04-06 03:52:47.1515453 -03:00,10,0
1659079,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,326,siderca\12985,"CA15,GA15,CDT",2025-04-06 06:56:21.5326891 -03:00,1659026,2025-04-06 05:22:20.4123760 -03:00,12,0
1659127,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,883,siderca\12985,"CPT,CPA,CSR,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-06 08:12:10.4589780 -03:00,1659079,2025-04-06 07:01:47.5326891 -03:00,11,0
1659195,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,409,siderca\12985,"CA15,GA15,CFC,CDT",2025-04-06 10:06:55.4191995 -03:00,1659127,2025-04-06 08:26:53.4589780 -03:00,13,0
1659235,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,939.956,siderca\12985,"CPT,CPA,CSR,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-06 11:22:29.8112198 -03:00,1659195,2025-04-06 10:13:44.4191995 -03:00,11,0
1659320,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,360.267,siderca\60062524,"GA15,GFC,CDT",2025-04-06 13:06:59.0000000 -03:00,1659235,2025-04-06 11:38:09.7670604 -03:00,11,0
1659349,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,582,siderca\60062524,"CPA,GA15,GFC,CDS,GDS,CDT",2025-04-06 14:17:05.2137333 -03:00,1659320,2025-04-06 13:12:59.2678250 -03:00,10,0
1659418,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,624.7,siderca\60062524,"CPT,CSR,GSR,GA15,GFC",2025-04-06 16:28:00.0542654 -03:00,1659349,2025-04-06 14:26:47.2137333 -03:00,11,0
1659489,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,563.226,siderca\60062524,"CPA,GA15,GFC,CDS,GDS,CDT",2025-04-06 18:26:24.3717242 -03:00,1659418,2025-04-06 16:38:24.7540825 -03:00,10,0
1659534,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,276.806,siderca\60062524,"GA15,CFC,GFC,CDT",2025-04-06 20:03:33.4041745 -03:00,1659489,2025-04-06 18:35:47.5973622 -03:00,12,1
1659595,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,944,siderca\60062291,"CPT,CPA,CSR,GSR,GA15,GA12,CFC,GFC,CDS,GDS",2025-04-06 21:23:19.8864174 -03:00,1659534,2025-04-06 20:08:10.2103394 -03:00,9,0
1659661,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,375.872,siderca\60062291,"GA15,CA12",2025-04-06 23:08:53.2960375 -03:00,1659595,2025-04-06 21:39:03.8864174 -03:00,11,0
1659708,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,930.328,siderca\60062291,"CPA,GA15,GA12,GFC,GDS",2025-04-07 00:21:07.8508108 -03:00,1659661,2025-04-06 23:15:09.1688678 -03:00,10,0
1659752,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,615.191,siderca\60062291,"CPT,CSR,GSR,CA15,GA15,CA12,GA12",2025-04-07 01:38:06.9142608 -03:00,1659708,2025-04-07 00:36:38.1784161 -03:00,9,0
1659791,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,703.171,siderca\60062291,"CPA,GA15,GA12,CFC,GFC,GDS",2025-04-07 02:55:34.4816337 -03:00,1659752,2025-04-07 01:48:22.1057316 -03:00,10,0
1659913,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,774.231,siderca\60062567,"CA15,GA12,CFC,GH",2025-04-07 05:41:13.6082539 -03:00,1659791,2025-04-07 03:07:17.6521211 -03:00,11,0
1659963,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,862.638,siderca\60062567,"CPT,CPA,GSR,CA15,GA12,CFC,GDS,CDT,GH",2025-04-07 07:12:54.8666805 -03:00,1659913,2025-04-07 05:54:07.8390395 -03:00,10,0
1660026,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,351.827,siderca\60062567,"CA15,GA12,CFC,GH",2025-04-07 08:49:00.1765699 -03:00,1659963,2025-04-07 07:27:17.5045127 -03:00,11,0
1660080,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,660.979,siderca\60062567,"CPA,CA15,GA12,CFC,GDS,CDT,GH",2025-04-07 10:38:54.5071861 -03:00,1660026,2025-04-07 08:54:52.0037514 -03:00,9,0
1660087,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,461.006,siderca\60062567,"CPT,CPA,GSR,CA15,GA12,CFC,GDS,CDT,GH",2025-04-07 11:11:08.8405461 -03:00,1660080,2025-04-07 10:49:55.4864358 -03:00,3,0
1660110,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,514.781,siderca\60062567,"CPT,GSR,CA15,GA12,GDS,GH",2025-04-07 12:22:18.4048893 -03:00,1660087,2025-04-07 11:18:49.8468772 -03:00,7,1
1660218,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,900.334,siderca\60062524,"CPA,CA15,GA15,GA12,CFC,GFC,CDS,GDS,CDT",2025-04-07 16:24:20.2871978 -03:00,1660110,2025-04-07 12:30:53.1853651 -03:00,14,2
